Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2010,Baccalaureate (All),Furman University,"$4,363,322","$8,025,724","$2,866,578","$1,040",$0,"$11,359,879","$14,227,497","$10,000","$5,684","$22,258,905","$5,106,146",0,$0,0,0,$0,$0,"$162,751"
FY2006,Baccalaureate (All),Limestone College,"$254,008","$480,243","$450,800",$0,$0,"$231,043","$681,843",,$0,"$1,162,086","$360,891",,,,,,,
FY2007,Baccalaureate (All),Limestone College,"$274,704","$515,361","$880,861",$0,$0,"$93,217","$974,078",,$0,"$1,489,439","$696,394",,,,,,,
FY2008,Baccalaureate (All),Limestone College,"$312,372","$538,721","$1,316,740",$0,$0,"$308,242","$1,624,982",,"$65,673","$2,229,376","$532,944",,,,,,,
FY2009,Baccalaureate (All),Limestone College,"$220,836","$507,046","$683,999","$6,485",$0,"$55,717","$746,201",,$0,"$1,253,247","$402,193",,,,,,,
FY2010,Baccalaureate (All),Limestone College,"$275,798","$507,599","$582,668",$0,$0,"$82,934","$665,602",,$0,"$1,173,201","$377,144",,,,,,,
FY2006,Baccalaureate (All),Presbyterian College,"$564,857","$1,729,481","$3,225,875",$0,$0,"$1,696,549","$4,922,424",,$0,"$6,651,905","$1,451,006",,,,,,,
FY2007,Baccalaureate (All),Presbyterian College,"$798,599","$2,087,323","$3,618,679",$0,$0,"$3,274,180","$6,892,859",,$0,"$8,980,182","$1,866,681",,,,,,,
FY2008,Baccalaureate (All),Presbyterian College,"$2,464,453","$4,300,862","$1,024,201",$0,$0,"$3,320,346","$4,344,547",,$0,"$8,645,409","$1,987,598",,,,,,,
FY2009,Baccalaureate (All),Presbyterian College,"$1,996,538","$3,308,843","$1,018,184",$0,$0,"$2,819,785","$3,837,969",,$0,"$7,146,812","$3,374,106",,,,,,,
FY2010,Baccalaureate (All),Presbyterian College,"$1,805,892","$3,784,177","$722,768","$33,000",$0,"$2,618,636","$3,374,404",,$0,"$7,158,581","$2,494,942",,,,,,,
FY2006,Baccalaureate (All),University of South Carolina-Aiken,"$960,162","$1,054,902","$62,700",$0,$0,$0,"$62,700",,$0,"$1,117,602","$51,413",,,,,,,
FY2007,Baccalaureate (All),University of South Carolina-Aiken,"$1,141,910","$1,222,464","$141,322",$0,$0,"$394,780","$536,102",,"$2,113,068","$3,871,634","$90,197",,,,,,,
FY2008,Baccalaureate (All),University of South Carolina-Aiken,"$597,631","$680,337",$0,"$13,881",$0,"$520,501","$534,382",,"$9,877","$1,224,596","$56,588",,,,,,,
FY2009,Baccalaureate (All),University of South Carolina-Aiken,"$1,036,201","$1,107,857",$0,$0,$0,"$231,440","$231,440",,"$10,413","$1,349,710","$54,847",,,,,,,
FY2010,Baccalaureate (All),University of South Carolina-Aiken,"$646,703","$715,385",$0,$0,$0,"$1,970,922","$1,970,922",,$0,"$2,686,307","$44,245",,,,,,,
FY2010,Baccalaureate (All),Voorhees College,"$2,283","$3,738","$11,325",$0,$0,$912,"$12,237",,$45,"$16,020","$1,025",,,,,,,
FY2006,Baccalaureate (All),Wofford College,"$1,761,352","$4,188,581","$2,669,089","$583,487",$0,"$5,211,272","$8,463,848","$1,865,375","$1,119,225","$13,771,654","$5,408,023",0,$0,0,0,$0,$0,"$162,068"
FY2007,Baccalaureate (All),Wofford College,"$2,870,412","$5,414,095","$3,840,473","$5,055",$0,"$10,226,599","$14,072,127","$1,847,500","$1,001,747","$20,487,969","$7,175,324",,,,,,,
FY2008,Baccalaureate (All),Wofford College,"$4,166,331","$5,539,530","$1,486,151","$7,844",$0,"$5,542,459","$7,036,454","$3,104,377","$791,322","$13,367,306","$5,157,410",,,,,,,"$817,403"
FY2009,Baccalaureate (All),Wofford College,"$4,235,040","$5,861,585","$2,066,760","$5,317",$0,"$5,975,267","$8,047,344","$123,000","$75,654","$13,984,583","$4,457,414",,,,,,,"$722,702"
FY2010,Baccalaureate (All),Wofford College,"$3,624,990","$4,742,497","$1,264,329","$3,329",$0,"$3,937,851","$5,205,509","$10,177,630","$5,087,023","$15,035,029","$7,588,831",,,,,,,"$771,039"
FY2006,Baccalaureate (All),Augustana College,"$1,601,327","$2,206,475","$1,605,172","$12,109",$0,"$3,377,054","$4,994,335","$1,937,017","$1,100,768","$8,301,578","$4,186,787",600,"$491,029",0,600,$0,"$491,029","$35,343"
FY2007,Baccalaureate (All),Augustana College,"$1,754,964","$2,512,338","$791,164","$10,266",$0,"$1,259,683","$2,061,113","$545,000","$243,485","$4,816,936","$1,530,401",837,"$480,625",0,837,$0,"$480,625","$41,462"
FY2008,Baccalaureate (All),Augustana College,"$2,012,057","$2,714,091","$9,545,841","$34,367",$0,"$1,319,328","$10,899,536","$280,000","$120,979","$13,734,606","$1,934,645",922,"$869,086",65,987,"$5,887,164","$6,756,250","$43,385"
FY2010,Baccalaureate (All),Augustana College,"$1,683,066","$2,710,723","$2,300,558","$19,032",$0,"$2,157,789","$4,477,379","$2,512,000","$1,025,201","$8,213,303","$3,390,609","1,267","$861,656",13,"1,280","$252,665","$1,114,321","$170,928"
FY2006,Baccalaureate (All),Dakota Wesleyan University,"$244,908","$1,156,861","$1,874,057","$55,000",$0,"$825,715","$2,754,772","$67,500","$40,007","$3,951,640","$976,058",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Dakota Wesleyan University,"$331,264","$946,713","$494,553",$947,$0,"$1,744,892","$2,240,392","$10,000","$6,418","$3,193,523","$1,486,259",,,,,,,$0
FY2006,Baccalaureate (All),Covenant College,"$375,612","$3,646,336","$2,411,056",$0,$0,"$625,603","$3,036,659",$0,$0,"$6,682,995","$599,155",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Covenant College,"$500,281","$2,499,815","$6,041,832",$0,$0,"$483,325","$6,525,157",$0,$0,"$9,024,972","$416,478",0,$0,0,0,$0,$0,$0
FY2008,Baccalaureate (All),Covenant College,"$446,630","$3,162,684","$2,897,034",$0,$0,"$447,191","$3,344,225",$0,$0,"$6,506,909","$385,566",0,$0,0,0,$0,$0,$0
FY2009,Baccalaureate (All),Covenant College,"$1,663,780","$3,639,171","$1,818,644",$0,$0,"$267,836","$2,086,480",$0,$0,"$5,725,651","$404,264",0,$0,0,0,$0,$0,$0
FY2007,Baccalaureate (All),Fisk University,"$887,399","$2,403,428",$0,"$3,500",$0,"$702,664","$706,164",$0,$0,"$3,109,592","$1,022,779",0,$0,0,0,$0,$0,$0
FY2008,Baccalaureate (All),Fisk University,"$700,767","$7,406,333","$154,750","$1,600",$0,"$975,035","$1,131,385",$0,$0,"$8,537,718","$1,805,807",0,$0,0,0,$0,$0,"$2,500"
FY2009,Baccalaureate (All),Fisk University,"$2,193,452","$4,637,294",$0,$750,$0,"$344,324","$345,074",$0,$0,"$4,982,368","$1,024,793",2,$225,,2,,$225,$200
FY2006,Baccalaureate (All),Maryville College,"$735,281","$1,816,090","$972,061","$45,537","$3,000","$1,965,563","$2,986,161","$137,826","$81,754","$4,884,005","$1,622,805",0,$0,52,52,"$20,192","$20,192","$21,550"
FY2007,Baccalaureate (All),Maryville College,"$726,788","$1,638,769","$2,416,745","$206,434","$3,000","$1,113,153","$3,739,332","$152,373","$113,700","$5,491,801","$1,281,885",107,"$26,159",114,221,"$148,179","$174,338","$18,837"
FY2008,Baccalaureate (All),Maryville College,"$752,470","$2,147,496","$4,107,709","$67,754","$3,000","$1,203,742","$5,382,205","$118,452","$58,368","$7,588,069","$3,481,323",100,"$22,866",170,270,"$146,075","$168,941","$12,493"
FY2009,Baccalaureate (All),Maryville College,"$707,880","$1,588,835","$2,134,487","$59,626","$3,000","$9,745,110","$11,942,223","$596,859","$262,934","$13,793,992","$9,432,519",126,"$15,650",148,274,"$40,399","$56,049","$6,915"
FY2010,Baccalaureate (All),Maryville College,"$756,075","$1,943,144","$2,672,493","$45,175","$1,000","$5,044,843","$7,763,511","$206,496","$94,876","$9,801,531","$1,639,073",52,"$7,934",188,240,"$22,992","$30,926","$2,775"
