Year,Comparison Group,Institution,Total Curr Ops/Restricted Total,Total Current Operations,"Total Cap Purp/Prop, Bldgs, Equip",Total Cap Purp/Endowment/Unrestricted,Total Cap Purp/Loan Funds,Total Cap Purp/Endow/Restricted/Outright,Total Capital Purposes (Outright Gifts Only),Total Deferred/Face Value ,Total Deferred/Present Value ,Grand Total ,Alumni: Total ,Athletics/Curr Ops: Donors (#),Athletics/Curr Ops: Total Amount ($),Athletics/Cap Purp: Donors (#),Athletics/Total: Donors (#),Athletics/Cap Purp: Total Amount ($),Athletics/Total: Total Amount ($),Alumni: Curr Ops/Athletics
FY2014,Baccalaureate (All),SUNY College of Technology at Canton,"$148,862","$501,765",$0,$0,$0,"$525,177","$525,177","$50,020","$24,571","$1,051,513","$458,814",227,"$30,339",,227,,"$30,339",
FY2015,Baccalaureate (All),SUNY College of Technology at Canton,"$907,974","$1,156,751",$0,$0,$0,"$372,619","$372,619","$110,000","$53,488","$1,582,858","$414,052",0,$0,0,0,$0,$0,
FY2016,Baccalaureate (All),SUNY College of Technology at Canton,"$177,224","$465,986",$0,$0,$0,"$258,548","$258,548",$0,$0,"$724,534","$291,624",158,"$49,876",1,159,$300,"$50,176",
FY2011,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$443,453","$627,016",$500,$0,$0,"$41,696","$42,196",$0,$0,"$669,212","$158,660",0,$0,0,0,$0,$0,"$13,908"
FY2012,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$596,311","$717,868","$3,300",$0,$0,"$232,813","$236,113",$0,$0,"$953,981","$116,814",,,,,,,"$4,034"
FY2013,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$697,815","$848,513","$2,600",$0,$0,"$195,313","$197,913",$0,$0,"$1,046,426","$156,388",0,$0,0,0,$0,$0,"$7,845"
FY2014,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$570,656","$710,658",$415,$0,$0,"$150,907","$151,322",$0,$0,"$861,980","$167,633",0,$0,0,0,$0,$0,"$6,425"
FY2015,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$535,978","$689,580",$0,$0,$0,"$132,326","$132,326",$0,$0,"$821,906","$140,195",0,$0,0,0,$0,$0,"$1,626"
FY2016,Baccalaureate (All),SUNY College of Agriculture and Technology at Cobleskill,"$732,507","$861,079",$100,$0,$0,"$107,610","$107,710",$0,$0,"$968,789","$131,355",0,$0,0,0,$0,$0,$0
FY2011,Baccalaureate (All),SUNY College of Technology at Delhi,"$425,673","$779,101",$0,$0,$0,"$32,697","$32,697",$0,$0,"$811,798","$111,893",0,$0,0,0,$0,$0,$50
FY2012,Baccalaureate (All),SUNY College of Technology at Delhi,"$720,605","$1,052,826",$0,$703,$0,"$418,224","$418,927",$0,$0,"$1,471,753","$145,216",0,$0,0,0,$0,$0,$0
FY2013,Baccalaureate (All),SUNY College of Technology at Delhi,"$586,541","$887,558",$0,$128,$0,"$120,710","$120,838",$0,$0,"$1,008,396","$164,115",0,$0,0,0,$0,$0,$175
FY2014,Baccalaureate (All),SUNY College of Technology at Delhi,"$685,441","$1,037,665",$78,$0,$0,"$179,977","$180,055",$0,$0,"$1,217,720","$235,710",0,$0,0,0,$0,$0,$0
FY2015,Baccalaureate (All),SUNY College of Technology at Delhi,"$629,704","$947,607",$0,$253,$0,"$139,417","$139,670",$0,$0,"$1,087,277","$183,546",0,$0,0,0,$0,$0,$0
FY2016,Baccalaureate (All),SUNY College of Technology at Delhi,"$767,759","$1,078,393",$0,$522,$0,"$281,860","$282,382",$0,$0,"$1,360,775","$175,001",0,$0,0,0,$0,$0,$0
FY2011,Baccalaureate (All),Farmingdale State College,"$1,361,044","$1,868,418","$245,652",$0,$0,$0,"$245,652",$0,$0,"$2,114,070","$81,583",,,,,,,
FY2012,Baccalaureate (All),Farmingdale State College,"$891,847","$1,511,835","$707,953",$0,$0,$0,"$707,953",$0,$0,"$2,219,788","$93,979",,,,,,,
FY2013,Baccalaureate (All),Farmingdale State College,"$569,632","$1,110,126","$91,933",$0,$0,"$3,400","$95,333",$0,$0,"$1,205,459","$58,559",,,,,,,
FY2014,Baccalaureate (All),Farmingdale State College,"$347,928","$961,342","$454,582",$0,$0,"$13,053","$467,635",$0,$0,"$1,428,977","$98,123",,,,,,,
FY2015,Baccalaureate (All),Farmingdale State College,"$799,763","$1,337,111","$6,890",$0,$0,"$2,888","$9,778",$0,$0,"$1,346,889","$323,837",,,,,,,$0
FY2016,Baccalaureate (All),Farmingdale State College,"$234,487","$1,007,225",$0,$0,$0,"$2,817","$2,817",$0,$0,"$1,010,042","$104,747",,,,,,,$0
FY2011,Baccalaureate (All),Morrisville State College,"$2,228,992","$2,356,219","$137,421",$0,$0,"$115,056","$252,477",$0,$0,"$2,608,696","$141,424",0,$0,0,0,$0,$0,$470
FY2012,Baccalaureate (All),Morrisville State College,"$2,047,316","$2,139,778","$172,765",$0,$0,"$38,867","$211,632",$0,$0,"$2,351,410","$101,035",0,$0,0,0,$0,$0,"$1,250"
FY2013,Baccalaureate (All),Morrisville State College,"$1,746,762","$1,891,886","$546,810",$0,$0,"$32,855","$579,665",$0,$0,"$2,471,551","$759,280",0,$0,0,0,$0,$0,"$3,144"
FY2014,Baccalaureate (All),Morrisville State College,"$2,002,004","$2,109,417","$19,500",$0,$0,"$24,462","$43,962",$0,$0,"$2,153,379","$200,419",0,$0,0,0,$0,$0,"$3,568"
FY2015,Baccalaureate (All),Morrisville State College,"$2,165,350","$2,257,727","$27,550",$0,$0,"$27,415","$54,965",$0,$0,"$2,312,692","$163,291",58,"$6,775",0,58,$0,"$6,775","$3,130"
FY2016,Baccalaureate (All),Morrisville State College,"$1,223,118","$1,311,533","$8,000",$0,$0,"$37,566","$45,566",$0,$0,"$1,357,099","$120,528",51,"$5,815",0,51,$0,"$5,815",$903
FY2011,Baccalaureate (All),Fashion Institute of Technology,"$1,312,605","$3,673,426",$0,$0,$0,"$84,892","$84,892",$0,$0,"$3,758,318","$17,301",,,,,,,$0
FY2012,Baccalaureate (All),Fashion Institute of Technology,"$4,119,854","$6,642,125",$0,$0,$0,$0,$0,"$490,000","$446,070","$7,088,195",$210,0,$0,0,0,$0,$0,
FY2013,Baccalaureate (All),Fashion Institute of Technology,"$3,448,264","$5,089,272","$881,720",$0,$0,$0,"$881,720","$2,655,280","$2,592,267","$8,563,259","$1,009,893",,,,,,,
FY2014,Baccalaureate (All),Fashion Institute of Technology,"$4,904,821","$6,817,827","$128,126",$0,$0,$0,"$128,126",$0,$0,"$6,945,953","$10,784",,,,,,,$0
FY2015,Baccalaureate (All),Fashion Institute of Technology,"$3,603,823","$5,286,817","$116,836",$0,$0,$0,"$116,836",$0,$0,"$5,403,653",$627,,,,,,,$0
FY2016,Baccalaureate (All),Fashion Institute of Technology,"$2,945,284","$4,709,046","$110,410",$0,$0,$0,"$110,410",$0,$0,"$4,819,456","$550,000",,,,,,,$0
FY2011,Baccalaureate (All),Union College,"$3,544,510","$7,551,662","$1,830,767",$0,$0,"$4,109,553","$5,940,320","$203,141","$86,459","$13,578,441","$7,720,946","1,124","$391,713",0,"1,124",$0,"$391,713","$203,142"
FY2012,Baccalaureate (All),Union College,"$4,076,500","$7,871,411","$1,523,676","$40,208",$0,"$5,720,163","$7,284,047","$370,227","$159,284","$15,314,742","$6,919,334","1,299","$453,550",62,"1,361","$120,760","$574,310","$211,338"
FY2013,Baccalaureate (All),Union College,"$3,587,337","$7,998,919","$4,240,421",$0,$0,"$5,654,151","$9,894,572","$303,050","$170,127","$18,063,618","$11,349,585","1,240","$492,467",0,"1,240",$0,"$492,467","$288,554"
FY2014,Baccalaureate (All),Union College,"$5,109,062","$9,648,662","$2,827,026",$0,$0,"$8,691,567","$11,518,593","$470,823","$229,069","$21,396,324","$15,966,940",963,"$333,413",0,963,$0,"$333,413","$336,797"
FY2015,Baccalaureate (All),Union College,"$3,987,678","$8,551,211","$2,208,847",$0,$0,"$11,874,436","$14,083,283","$145,532","$76,682","$22,711,176","$13,697,882","1,109","$523,917",0,"1,109",$0,"$523,917","$428,412"
FY2016,Baccalaureate (All),Union College,"$2,727,155","$7,325,924","$4,100,937",$0,$0,"$5,854,536","$9,955,473","$342,043","$161,621","$17,443,018","$10,738,018","1,010","$586,296",0,"1,010",$0,"$586,296","$380,096"
FY2011,Baccalaureate (All),United States Military Academy,"$14,441,377","$18,265,783","$232,524","$17,834",$0,"$5,314,288","$5,564,646",,"$7,776,549","$31,606,978","$20,092,599",,,,,,,
FY2012,Baccalaureate (All),United States Military Academy,"$16,641,918","$20,245,232","$83,661","$277,771",$0,"$6,890,268","$7,251,700",,"$2,037,915","$29,534,847","$18,468,676",,,,,,,
FY2013,Baccalaureate (All),United States Military Academy,"$21,033,167","$24,800,589","$1,599,961","$1,008,584",$0,"$7,298,781","$9,907,326",,"$3,586,288","$38,294,203","$27,297,571",,,,,,,
FY2014,Baccalaureate (All),United States Military Academy,"$22,375,275","$26,413,209","$476,801","$1,252,113",$0,"$14,984,990","$16,713,904",,"$9,495,232","$52,622,345","$42,607,111",,,,,,,
FY2015,Baccalaureate (All),United States Military Academy,"$21,657,842","$25,957,088","$8,394,685","$91,358",$0,"$12,426,680","$20,912,723",,"$3,977,247","$50,847,058","$39,310,349",,,,,,,
FY2016,Baccalaureate (All),United States Military Academy,"$22,598,011","$26,930,711","$6,749,740","$382,317",$0,"$10,351,536","$17,483,593",,"$1,627,113","$46,041,417","$30,512,093",,,,,,,
FY2011,Baccalaureate (All),Vassar College,"$12,062,625","$22,118,243","$6,109,550","$497,240",$0,"$12,409,597","$19,016,387","$649,745","$353,501","$41,488,131","$17,782,558",210,"$231,375",1,211,"$220,000","$451,375","$69,674"
FY2012,Baccalaureate (All),Vassar College,"$7,022,181","$16,972,670","$2,881,102","$4,016,736",$0,"$12,365,575","$19,263,413","$1,178,059","$613,312","$36,849,395","$19,781,383",158,"$297,423",1,159,"$50,000","$347,423","$65,216"
FY2013,Baccalaureate (All),Vassar College,"$4,992,596","$15,249,526","$16,570,672","$1,418,102",$0,"$22,955,253","$40,944,027","$624,851","$366,455","$56,560,008","$28,930,837",188,"$318,535",1,189,"$50,000","$368,535","$65,312"
FY2014,Baccalaureate (All),Vassar College,"$15,105,255","$23,760,979","$3,709,402","$3,673,360",$0,"$9,820,371","$17,203,133","$401,892","$341,133","$41,305,245","$24,752,904",213,"$255,509",1,214,"$50,000","$305,509","$56,581"
FY2015,Baccalaureate (All),Vassar College,"$9,616,683","$18,499,946","$3,481,039","$5,675,130",$0,"$7,785,281","$16,941,450","$808,337","$425,743","$35,867,139","$19,985,833",182,"$350,721",1,183,"$50,000","$400,721","$38,049"
FY2016,Baccalaureate (All),Vassar College,"$5,487,419","$14,160,842","$1,457,747","$4,076,748",$0,"$7,003,739","$12,538,234","$349,064","$207,137","$26,906,213","$15,952,288",373,"$319,401",1,374,"$50,000","$369,401","$67,939"
FY2011,Baccalaureate (All),Wells College,"$817,578","$2,898,605","$9,420","$20,250",$0,"$2,030,306","$2,059,976",,"$1,623","$4,960,204","$3,886,236",,,,,,,
FY2012,Baccalaureate (All),Wells College,"$260,045","$3,008,625","$81,373","$5,250",$0,"$2,341,158","$2,427,781",,$0,"$5,436,406","$4,272,200",,,,,,,
FY2014,Baccalaureate (All),Wells College,"$1,669,421","$3,676,219","$59,100",$250,$0,"$409,604","$468,954",,$0,"$4,145,173","$2,266,626",,,,,,,
FY2015,Baccalaureate (All),Wells College,"$342,665","$2,244,000","$29,561","$2,001",$0,"$789,408","$820,970",,"$1,172,663","$4,237,633","$2,900,932",,,,,,,
FY2016,Baccalaureate (All),Wells College,"$3,059,646","$4,677,537","$564,456",$250,$0,"$278,084","$842,790",,"$50,217","$5,570,544","$3,164,782",,,,,,,
FY2011,Baccalaureate (All),University of North Carolina at Asheville,"$626,856","$693,178","$1,560,716",$0,"$2,250","$1,095,129","$2,658,095","$46,742","$15,871","$3,367,144","$183,236",642,"$214,259",31,673,"$11,465","$225,724","$23,229"
FY2012,Baccalaureate (All),University of North Carolina at Asheville,"$893,468","$1,076,077","$1,674,501",$0,"$3,600","$734,243","$2,412,344","$50,000","$19,725","$3,508,146","$194,536",653,"$265,262",11,664,"$37,200","$302,462","$23,991"
FY2013,Baccalaureate (All),University of North Carolina at Asheville,"$994,170","$1,283,500","$351,751",$0,$0,"$2,493,319","$2,845,070","$300,000","$71,072","$4,199,642","$211,321",,,,,,,"$23,675"
FY2014,Baccalaureate (All),University of North Carolina at Asheville,"$1,125,846","$1,286,488","$33,507",$0,"$4,148","$612,293","$649,948","$32,821","$15,581","$1,952,017","$223,813",966,"$420,487",6,972,"$2,555","$423,042","$29,411"
FY2015,Baccalaureate (All),University of North Carolina at Asheville,"$1,166,329","$1,343,344","$554,408",$0,"$6,318","$1,048,570","$1,609,296","$10,000","$6,269","$2,958,909","$258,402",833,"$495,188",7,840,"$2,200","$497,388","$51,678"
FY2016,Baccalaureate (All),University of North Carolina at Asheville,"$3,231,907","$3,499,725","$77,084",$0,"$6,750","$3,235,509","$3,319,343","$35,000","$17,731","$6,836,799","$324,552",939,"$454,017",8,947,"$4,500","$458,517","$44,670"
FY2011,Baccalaureate (All),Catawba College,"$5,817,874","$10,454,702","$156,109","$1,319,979",$0,"$1,002,501","$2,478,589",$0,$0,"$12,933,291","$2,222,670",,,,,,,
FY2012,Baccalaureate (All),Catawba College,"$1,286,343","$4,884,469","$129,650","$173,801",$0,"$890,792","$1,194,243",$0,$0,"$6,078,712","$1,371,658",,,,,,,
FY2013,Baccalaureate (All),Catawba College,"$3,798,914","$8,078,629","$23,550","$106,753",$0,"$909,670","$1,039,973",$0,$0,"$9,118,602","$1,884,407",,,,,,,
FY2014,Baccalaureate (All),Catawba College,"$9,248,371","$11,947,357","$5,550","$624,713",$0,"$914,518","$1,544,781",$0,$0,"$13,492,138","$1,508,826",,,,,,,
FY2015,Baccalaureate (All),Catawba College,"$17,696,365","$19,034,310",$0,"$219,478",$0,"$887,624","$1,107,102",$0,$0,"$20,141,412","$2,069,430",,,,,,,
FY2016,Baccalaureate (All),Catawba College,"$4,123,634","$5,306,402",$0,"$173,737",$0,"$968,805","$1,142,542",$0,$0,"$6,448,944","$2,739,528",,,,,,,
FY2011,Baccalaureate (All),Davidson College,"$8,402,560","$11,444,214","$1,228,056","$56,340",$0,"$19,189,789","$20,474,185","$20,000","$7,000","$31,925,399","$12,854,737","2,772","$964,575",228,"3,000","$1,295,700","$2,260,275","$1,896,521"
FY2012,Baccalaureate (All),Davidson College,"$8,648,611","$11,757,021","$1,523,060","$69,026",$0,"$14,718,113","$16,310,199",$0,$0,"$28,067,220","$11,894,510","3,057","$1,104,968",299,"3,356","$1,237,947","$2,342,915","$1,156,405"
FY2013,Baccalaureate (All),Davidson College,"$11,164,084","$14,121,206","$7,420,579","$83,554",$0,"$13,843,598","$21,347,731",$0,$0,"$35,468,937","$14,262,187","3,035","$1,198,067",175,"3,210","$2,184,653","$3,382,720","$1,038,634"
FY2014,Baccalaureate (All),Davidson College,"$11,012,790","$14,476,357","$18,954,299","$167,921",$0,"$12,338,261","$31,460,481",$0,$0,"$45,936,838","$11,909,774","2,668","$1,510,156",153,"2,821","$889,896","$2,400,052","$1,176,165"
FY2015,Baccalaureate (All),Davidson College,"$17,177,502","$20,944,487","$14,622,741","$1,189,864",$0,"$15,666,237","$31,478,842","$632,518","$359,789","$52,783,118","$19,252,494","2,474","$1,629,501",151,"2,625","$2,176,805","$3,806,306","$1,433,769"
FY2016,Baccalaureate (All),Davidson College,"$15,174,228","$19,500,073","$14,110,702","$303,282",$0,"$14,103,361","$28,517,345","$3,623,593","$3,194,958","$51,212,376","$18,830,092","2,332","$1,896,117",0,"2,332",$0,"$1,896,117","$1,165,913"
FY2016,Baccalaureate (All),Greensboro College,"$460,368","$1,081,749","$193,499",$0,$0,"$832,869","$1,026,368",$0,$0,"$2,108,117","$1,140,636",0,$0,0,0,$0,$0,"$17,953"
FY2011,Baccalaureate (All),Guilford College,"$651,768","$1,461,161","$797,733","$17,141",$0,"$679,655","$1,494,529","$210,000","$143,138","$3,098,828","$1,058,686",0,$0,0,0,$0,$0,"$52,568"
FY2012,Baccalaureate (All),Guilford College,"$826,707","$3,020,202","$2,869,671","$1,544",$0,"$1,875,129","$4,746,344","$139,353","$80,380","$7,846,926","$2,967,945",0,$0,0,0,$0,$0,"$83,362"
FY2013,Baccalaureate (All),Guilford College,"$1,051,914","$2,256,418","$1,221,742","$1,124",$0,"$2,776,455","$3,999,321","$225,000","$122,337","$6,378,076","$2,091,760",,,,,,,"$80,260"
FY2014,Baccalaureate (All),Guilford College,"$896,984","$1,513,467","$633,255","$1,154",$0,"$1,830,467","$2,464,876",$0,$0,"$3,978,343","$978,878",,$0,,,$0,$0,"$59,946"
FY2015,Baccalaureate (All),Guilford College,"$1,306,341","$2,205,126","$246,943","$51,182",$0,"$2,247,027","$2,545,152","$275,000","$153,540","$4,903,818","$1,113,915",0,$0,0,0,$0,$0,"$63,200"
FY2016,Baccalaureate (All),Guilford College,"$1,390,230","$2,010,050","$143,992","$1,125",$0,"$812,464","$957,581","$125,000","$73,339","$3,040,970","$1,336,469",0,$0,0,0,$0,$0,"$64,417"
FY2011,Baccalaureate (All),Mount Olive College,"$522,552","$1,368,207","$277,253","$583,775",$0,$0,"$861,028",$0,$0,"$2,229,235","$313,623",0,$0,0,0,$0,$0,"$18,196"
FY2012,Baccalaureate (All),Mount Olive College,"$481,208","$4,690,398","$93,923","$544,522",$0,$0,"$638,445",$0,$0,"$5,328,843","$1,290,855",,,,,,,"$18,409"
FY2013,Baccalaureate (All),Mount Olive College,"$892,737","$2,036,532","$39,320","$567,685",$0,$0,"$607,005",$0,$0,"$2,643,537","$268,891",,,,,,,"$18,334"
FY2014,Baccalaureate (All),Mount Olive College,"$947,031","$2,161,794","$80,881","$852,486",$0,$0,"$933,367",$0,$0,"$3,095,161","$634,591",0,$0,0,0,$0,$0,"$23,468"
FY2015,Baccalaureate (All),Mount Olive College,"$829,289","$2,321,049","$216,011","$490,290",$0,$0,"$706,301",$0,$0,"$3,027,350","$402,371",0,$0,0,0,$0,$0,"$42,598"
FY2016,Baccalaureate (All),Mount Olive College,"$1,624,460","$2,676,391","$601,907","$254,520",$0,$0,"$856,427",$0,$0,"$3,532,818","$414,358",0,$0,0,0,$0,$0,"$60,167"
FY2011,Baccalaureate (All),William Peace University,"$193,674","$426,592","$500,326","$5,500",$0,"$467,545","$973,371",,"$863,284","$2,263,247","$879,214",,,,,,,
FY2015,Baccalaureate (All),William Peace University,$0,"$1,383,603","$160,724","$539,204",$0,"$130,273","$830,201",,$0,"$2,213,804","$355,706",,,,,,,
FY2016,Baccalaureate (All),William Peace University,"$106,185","$1,326,682","$194,894",,,"$1,057,665","$1,252,559",,,"$2,579,241","$1,281,039",,,,,,,
FY2011,Baccalaureate (All),Salem College,"$1,114,151","$2,244,027","$40,709","$399,541",$0,"$655,536","$1,095,786",$0,$0,"$3,339,813","$2,100,616",,,,,,,$400
FY2012,Baccalaureate (All),Salem College,"$654,094","$1,845,039","$65,720",$550,"$475,696","$1,428,606","$1,970,572",$0,$0,"$3,815,611","$2,318,108",,,,,,,"$1,067"
FY2013,Baccalaureate (All),Salem College,"$892,311","$2,021,032","$14,698","$304,025","$407,946","$471,757","$1,198,426",$0,$0,"$3,219,458","$1,337,186",,,,,,,$100
FY2014,Baccalaureate (All),Salem College,"$1,282,626","$2,319,470","$8,488","$87,667","$2,516,192","$218,953","$2,831,300",$0,$0,"$5,150,770","$1,109,005",,,,,,,$100
FY2015,Baccalaureate (All),Salem College,"$2,659,724","$4,492,238","$19,240","$235,300","$389,978","$88,035","$732,553",$0,$0,"$5,224,791","$1,192,552",,,,,,,$0
FY2016,Baccalaureate (All),Salem College,"$1,729,550","$2,770,097","$29,138","$116,367","$1,309,665","$5,230","$1,460,400",$0,$0,"$4,230,497","$1,272,921",,,,,,,"$222,047"
FY2011,Baccalaureate (All),Warren Wilson College,"$618,592","$1,129,533","$67,320","$964,988",$0,"$1,380,716","$2,413,024","$5,000","$3,689","$3,546,246","$167,625",84,"$10,644",1,85,"$2,000","$12,644","$1,540"
FY2012,Baccalaureate (All),Warren Wilson College,"$1,001,205","$1,582,501","$666,788","$29,510",$495,"$382,372","$1,079,165","$10,000","$2,739","$2,664,405","$201,144",116,"$9,164",1,117,"$2,000","$11,164",$918
FY2013,Baccalaureate (All),Warren Wilson College,"$1,935,676","$2,498,358","$471,075","$282,344",$100,"$858,824","$1,612,343","$100,000","$67,072","$4,177,773","$558,983",86,"$30,969",1,87,"$2,000","$32,969","$6,650"
FY2014,Baccalaureate (All),Warren Wilson College,"$1,968,765","$2,767,717","$505,582",$350,$100,"$748,740","$1,254,772",$0,$0,"$4,022,489","$237,207",101,"$20,390",0,101,$0,"$20,390","$4,660"
FY2015,Baccalaureate (All),Warren Wilson College,"$1,442,420","$2,240,113","$1,537,589",$0,$50,"$403,313","$1,940,952",$0,$0,"$4,181,065","$209,159",46,"$16,299",0,46,$0,"$16,299","$3,620"
FY2016,Baccalaureate (All),Warren Wilson College,"$812,212","$1,752,050","$187,416",$760,$0,"$694,439","$882,615","$75,000","$33,698","$2,668,363","$532,910",51,"$23,264",21,72,"$8,505","$31,769","$16,819"
FY2011,Baccalaureate (All),College of Wooster,"$1,656,069","$4,740,946","$7,136,405","$172,973",$0,"$2,153,634","$9,463,012","$94,122","$25,440","$14,229,398","$8,820,844",462,"$72,968",1,463,"$5,000","$77,968","$24,943"
FY2012,Baccalaureate (All),College of Wooster,"$4,752,159","$7,615,346","$4,107,684","$2,775","$2,520","$2,655,775","$6,768,754","$503,053","$162,850","$14,546,950","$7,512,391",520,"$112,492",0,520,$0,"$112,492","$35,869"
FY2013,Baccalaureate (All),College of Wooster,"$2,776,957","$5,740,204","$5,197,003","$14,615","$3,500","$4,524,379","$9,739,497","$312,383","$114,803","$15,594,504","$10,147,903",384,"$38,113",10,394,"$175,212","$213,325","$30,847"
FY2014,Baccalaureate (All),College of Wooster,"$2,758,215","$5,990,546","$10,366,491","$54,702",$0,"$3,114,304","$13,535,497","$535,269","$198,570","$19,724,613","$10,606,296",517,"$139,054",0,517,$0,"$139,054","$41,013"
FY2015,Baccalaureate (All),College of Wooster,"$2,346,839","$6,489,403","$4,480,117","$2,021",$0,"$8,533,508","$13,015,646","$186,084","$72,537","$19,577,586","$13,308,996",592,"$176,484",2,594,"$10,000","$186,484","$66,630"
FY2016,Baccalaureate (All),College of Wooster,"$6,370,645","$9,718,656","$5,028,049","$2,516","$6,778","$2,367,659","$7,405,002","$122,789","$87,175","$17,210,833","$7,563,858",533,"$104,644",3,536,"$10,481","$115,125","$43,228"
FY2011,Baccalaureate (All),Defiance College,"$598,764","$1,174,677","$1,424,421",$697,$0,"$235,621","$1,660,739","$10,000","$7,256","$2,842,672","$1,262,730",0,$0,0,0,$0,$0,"$23,925"
FY2012,Baccalaureate (All),Defiance College,"$423,263","$1,012,971","$718,217","$2,652",$0,"$254,174","$975,043",$0,$0,"$1,988,014","$777,478",187,"$36,911",0,187,$0,"$36,911","$24,869"
FY2013,Baccalaureate (All),Defiance College,"$323,225","$846,877","$381,747","$5,406",$0,"$545,202","$932,355","$10,000","$3,729","$1,782,961","$1,017,264",166,"$35,760",0,166,$0,"$35,760","$25,280"
FY2014,Baccalaureate (All),Defiance College,"$352,544","$834,896","$351,296",$690,$0,"$230,867","$582,853",$0,$0,"$1,417,749","$692,510",150,"$38,773",0,150,$0,"$38,773","$21,020"
FY2015,Baccalaureate (All),Defiance College,"$371,769","$936,442","$417,636","$1,105",$0,"$206,146","$624,887",$0,$0,"$1,561,329","$914,735",131,"$27,521",0,131,$0,"$27,521","$22,139"
FY2016,Baccalaureate (All),Defiance College,"$418,956","$869,854","$252,542",$400,$0,"$379,637","$632,579",$0,$0,"$1,502,433","$654,816",158,"$306,700",25,183,"$4,763","$311,463","$25,370"
FY2011,Baccalaureate (All),Denison University,"$1,071,717","$5,463,934","$5,567,628","$193,349","$30,000","$2,854,152","$8,645,129","$1,028,924","$796,907","$14,905,970","$6,986,434",257,"$106,639",,257,,"$106,639","$33,585"
FY2012,Baccalaureate (All),Denison University,"$1,425,923","$5,909,657","$4,585,048","$308,673","$25,000","$4,406,886","$9,325,607","$765,188","$683,896","$15,919,160","$8,489,915",240,"$98,986",0,240,$0,"$98,986","$45,783"
FY2013,Baccalaureate (All),Denison University,"$859,339","$5,236,113","$6,981,549","$152,525",$6,"$5,883,754","$13,017,834","$709,405","$634,307","$18,888,254","$14,274,585",268,"$102,772",,268,,"$102,772","$28,709"
FY2014,Baccalaureate (All),Denison University,"$1,546,639","$6,068,713","$2,266,698","$1,039,161",$0,"$3,681,608","$6,987,467","$683,548","$638,575","$13,694,755","$7,781,033",304,"$160,805",0,304,$0,"$160,805","$71,962"
FY2015,Baccalaureate (All),Denison University,"$2,438,574","$7,015,905","$4,307,413","$1,470,400",$0,"$3,727,409","$9,505,222","$896,601","$742,732","$17,263,859","$9,398,796",525,"$251,022",0,525,$0,"$251,022","$95,389"
FY2016,Baccalaureate (All),Denison University,"$4,981,342","$9,809,963","$7,555,757","$2,479,257",$17,"$3,705,152","$13,740,183","$660,388","$658,848","$24,208,994","$11,479,905",484,"$268,749",0,484,$0,"$268,749","$108,383"
FY2011,Baccalaureate (All),Heidelberg University,"$927,383","$1,831,975","$1,155,564",$0,$0,"$406,116","$1,561,680","$183,881","$129,999","$3,523,654","$2,321,278",,,,,,,$0
FY2012,Baccalaureate (All),Heidelberg University,"$1,744,864","$2,757,416","$1,572,502",$0,$0,"$1,380,997","$2,953,499","$25,000","$15,712","$5,726,627","$3,971,219",,,,,,,$0
FY2013,Baccalaureate (All),Heidelberg University,"$3,311,611","$4,262,118","$2,155,997",$0,$0,"$2,437,563","$4,593,560","$185,000","$116,230","$8,971,908","$6,593,459",0,$0,0,0,$0,$0,$0
FY2014,Baccalaureate (All),Heidelberg University,"$1,459,799","$2,506,482","$1,717,106",$0,$0,"$4,023,530","$5,740,636",,"$100,111","$8,347,229","$5,830,703",,,,,,,
FY2015,Baccalaureate (All),Heidelberg University,"$2,041,834","$3,210,265","$1,829,374",$0,$0,"$2,757,294","$4,586,668",,"$7,058","$7,803,991","$4,982,061",,,,,,,
FY2016,Baccalaureate (All),Heidelberg University,"$3,187,969","$4,257,438","$1,460,649","$100,000",$0,"$2,620,487","$4,181,136",,"$46,093","$8,484,667","$4,423,989",,,,,,,
FY2011,Baccalaureate (All),Hiram College,"$1,063,099","$2,420,071","$2,716,417","$918,273",$0,"$337,662","$3,972,352",,"$31,799","$6,424,222","$1,628,897",,,,,,,
FY2012,Baccalaureate (All),Hiram College,"$1,435,207","$2,840,679","$1,962,759","$264,556",$0,"$867,403","$3,094,718",,$0,"$5,935,397","$1,397,245",,,,,,,
FY2013,Baccalaureate (All),Hiram College,"$1,414,532","$3,125,722","$522,193","$67,310",$0,"$833,802","$1,423,305",,"$109,054","$4,658,081","$1,721,849",,,,,,,
FY2014,Baccalaureate (All),Hiram College,"$1,683,370","$3,052,373","$250,326","$186,457",$0,"$675,750","$1,112,533",,"$30,359","$4,195,265","$1,429,500",,,,,,,
FY2015,Baccalaureate (All),Hiram College,"$1,868,572","$3,185,796","$210,065","$196,606",$0,"$1,950,739","$2,357,410",,"$3,433","$5,546,639","$1,983,078",,,,,,,
FY2016,Baccalaureate (All),Hiram College,"$4,115,548","$5,421,129","$263,760","$77,277","$1,200","$2,499,740","$2,841,977",,"$231,960","$8,495,066","$3,901,162",,,,,,,
